timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,kinetic_energy,energy_lost
47,1.4,-3.286654771878338,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.79506440838624,-4.094593538103616,-4.194396686397622,-4.194396686397622,-4.194396686397622,-3.994772514922445,-3.295401864518771,0.0,68.20749084466175,-2.7361419230886668
48,1.4,-3.385907651003923,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.894878464205256,-4.194396686397622,-4.294195165963542,-4.294195165963542,-4.294195165963542,-4.094579889471543,-3.39521988506304,0.0,71.01324036156973,-2.80574951690798
49,1.4,-3.48512851796075,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-3.994688180760229,-4.294195165963542,-4.393988867025615,-4.393988867025615,-4.393988867025615,-4.194382705088707,-3.4950341159655234,0.0,73.8885850120177,-2.875344650447971
50,1.4,-3.584316596537894,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.09449344826286,-4.393988867025615,-4.493777679813399,-4.493777679813399,-4.493777679813399,-4.294180851993347,-3.5948444474326524,0.0,76.83351202952174,-2.9449270175040425
51,1.4,-3.683471110560927,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.1942941569298,-4.493777679813399,-4.593561494561889,-4.593561494561889,-4.593561494561889,-4.393974220410068,-3.6946507696752073,0.0,79.84800834144967,-3.014496311927928
52,1.4,-3.782591283892765,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.294090196982778,-4.593561494561889,-4.693340201511636,-4.693340201511636,-4.693340201511636,-4.493762700568794,-3.7944529729084384,0.0,82.93206056907907,-3.0840522276293996
53,1.4,-3.8816763404345296,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.393881458648718,-4.693340201511636,-4.793113690908872,-4.793113690908872,-4.793113690908872,-4.593546182704887,-3.894250947352187,0.0,86.08565502765626,-3.1535944585771887
54,1.4,-3.9807255041263954,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.493667832159859,-4.793113690908872,-4.89288185300563,-4.89288185300563,-4.89288185300563,-4.693324557059262,-3.994044583231008,0.0,89.30877772645712,-3.2231226988008643
55,1.4,-4.0797379989484455,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.59344920775388,-4.89288185300563,-4.992644578059861,-4.992644578059861,-4.992644578059861,-4.793097713878519,-4.093833770774287,0.0,92.60141436884881,-3.2926366423916846
56,1.4,-4.178713048921527,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.7,0.0,0.0,-4.693225475674015,-4.992644578059861,-5.092401756335557,-5.092401756335557,-5.092401756335557,-4.892865543415055,-4.193618400216366,0.0,95.96355035235302,-3.362135983504217
