,V_Y,m,Energy Lost
193,450.01,70.0,0.0
194,450.01,60.0,0.0
195,450.01,50.0,0.0
196,450.01,40.0,0.0
197,450.01,30.0,0.0
198,450.01,20.0,0.0
199,450.01,10.0,0.0
200,500.01,200.0,0.0
201,500.01,190.0,0.0
202,500.01,180.0,0.0
203,500.01,170.0,0.0
204,500.01,160.0,0.0
205,500.01,150.0,0.0
206,500.01,140.0,0.0
207,500.01,130.0,0.0
208,500.01,120.0,0.0
209,500.01,110.0,0.0
210,500.01,100.0,0.0
211,500.01,90.0,0.0
212,500.01,80.0,0.0
213,500.01,70.0,0.0
214,500.01,60.0,0.0
215,500.01,50.0,0.0
216,500.01,40.0,0.0
217,500.01,30.0,0.0
218,500.01,20.0,0.0
219,500.01,10.0,0.0
220,550.01,200.0,0.0
221,550.01,190.0,0.0
222,550.01,180.0,0.0
223,550.01,170.0,0.0
224,550.01,160.0,0.0
225,550.01,150.0,0.0
226,550.01,140.0,0.0
227,550.01,130.0,0.0
228,550.01,120.0,0.0
229,550.01,110.0,0.0
230,550.01,100.0,0.0
231,550.01,90.0,0.0
232,550.01,80.0,0.0
233,550.01,70.0,0.0
234,550.01,60.0,0.0
235,550.01,50.0,0.0
236,550.01,40.0,0.0
237,550.01,30.0,0.0
238,550.01,20.0,0.0
239,550.01,10.0,0.0
240,600.01,200.0,0.0
241,600.01,190.0,0.0
242,600.01,180.0,0.0
243,600.01,170.0,0.0
244,600.01,160.0,0.0
245,600.01,150.0,0.0
246,600.01,140.0,0.0
247,600.01,130.0,0.0
248,600.01,120.0,0.0
249,600.01,110.0,0.0
250,600.01,100.0,0.0
251,600.01,90.0,0.0
252,600.01,80.0,0.0
253,600.01,70.0,0.0
254,600.01,60.0,0.0
255,600.01,50.0,0.0
256,600.01,40.0,0.0
257,600.01,30.0,0.0
258,600.01,20.0,0.0
259,600.01,10.0,0.0
260,650.01,200.0,0.0
261,650.01,190.0,0.0
262,650.01,180.0,0.0
263,650.01,170.0,0.0
264,650.01,160.0,0.0
265,650.01,150.0,0.0
266,650.01,140.0,0.0
267,650.01,130.0,0.0
268,650.01,120.0,0.0
269,650.01,110.0,0.0
270,650.01,100.0,0.0
271,650.01,90.0,0.0
272,650.01,80.0,0.0
273,650.01,70.0,0.0
274,650.01,60.0,0.0
275,650.01,50.0,0.0
276,650.01,40.0,0.0
277,650.01,30.0,0.0
278,650.01,20.0,0.0
279,650.01,10.0,0.0
280,700.01,200.0,0.0
281,700.01,190.0,0.0
282,700.01,180.0,0.0
283,700.01,170.0,0.0
284,700.01,160.0,0.0
285,700.01,150.0,0.0
286,700.01,140.0,0.0
287,700.01,130.0,0.0
288,700.01,120.0,0.0
289,700.01,110.0,0.0
290,700.01,100.0,0.0
291,700.01,90.0,0.0
292,700.01,80.0,0.0
293,700.01,70.0,0.0
294,700.01,60.0,0.0
295,700.01,50.0,0.0
296,700.01,40.0,0.0
297,700.01,30.0,0.0
298,700.01,20.0,0.0
299,700.01,10.0,0.0
300,750.01,200.0,0.0
301,750.01,190.0,0.0
302,750.01,180.0,0.0
303,750.01,170.0,0.0
304,750.01,160.0,0.0
305,750.01,150.0,0.0
306,750.01,140.0,0.0
307,750.01,130.0,0.0
308,750.01,120.0,0.0
309,750.01,110.0,0.0
310,750.01,100.0,0.0
311,750.01,90.0,0.0
312,750.01,80.0,0.0
313,750.01,70.0,0.0
314,750.01,60.0,0.0
315,750.01,50.0,0.0
316,750.01,40.0,0.0
317,750.01,30.0,0.0
318,750.01,20.0,0.0
319,750.01,10.0,0.0
320,800.01,200.0,0.0
321,800.01,190.0,0.0
322,800.01,180.0,0.0
323,800.01,170.0,0.0
324,800.01,160.0,0.0
325,800.01,150.0,0.0
326,800.01,140.0,0.0
327,800.01,130.0,0.0
328,800.01,120.0,0.0
329,800.01,110.0,0.0
330,800.01,100.0,0.0
331,800.01,90.0,0.0
332,800.01,80.0,0.0
333,800.01,70.0,0.0
334,800.01,60.0,0.0
